timestamp,front_m,back_m,left_m,right_m,up_m,zrange_m
42569,2.116,,1.514,0.813,,0.123
42619,2.116,,1.596,0.818,,0.127
42669,2.103,,1.596,0.818,,0.138
42719,2.103,,,0.837,,0.145
42769,2.112,,,0.837,,0.158
42819,2.112,,,0.837,,0.168
42869,2.111,,,0.837,,0.177
42919,2.111,,,0.841,,0.186
42969,2.103,,,0.841,,0.199
43019,2.103,,,0.841,,0.206
43069,2.111,,,0.841,,0.215
43119,2.111,,,0.834,,0.225
43169,2.105,,,0.834,,0.236
43219,2.105,,2.388,0.831,,0.24
43269,2.103,,2.388,0.831,,0.247
43319,2.103,,2.316,0.831,,0.245
43369,2.1,,2.316,0.831,,0.249
43419,2.1,,,0.826,,0.255
43469,2.09,,,0.826,,0.256
43519,2.09,,2.352,0.824,,0.261
43569,2.083,,2.352,0.824,,0.267
43619,2.083,,2.228,0.82,,0.274
43669,2.091,,2.228,0.82,,0.275
43719,2.091,,,0.822,,0.277
43769,2.081,,,0.822,,0.283
43819,2.081,,,0.822,,0.285
43869,2.075,,,0.822,,0.289
43919,2.075,,,0.825,,0.293
43969,2.068,,,0.825,,0.295
44019,2.068,,,0.824,,0.298
44069,2.069,,,0.824,,0.297
44119,2.069,,,0.831,,0.302
44169,2.067,,,0.831,,0.305
44219,2.067,,,0.833,,0.302
44269,2.061,,,0.833,,0.308
44319,2.061,,,0.834,,0.307
44369,2.054,,,0.834,,0.309
44419,2.054,,,0.84,,0.313
44469,2.065,,,0.84,,0.312
44519,2.065,,2.443,0.842,,0.316
44569,2.061,,2.443,0.842,,0.316
44619,2.061,,,0.839,,0.315
44669,2.054,,,0.839,,0.319
44719,2.054,,2.437,0.842,,0.323
44769,2.059,,2.437,0.842,,0.321
44819,2.059,,2.42,0.845,,0.326
44869,2.058,,2.42,0.845,,0.327
44919,2.058,,,0.844,,0.327
44969,2.059,,,0.844,,0.327
45019,2.059,,2.354,0.844,,0.329
45069,2.046,,2.354,0.844,,0.33
45119,2.046,,2.455,0.845,,0.33
45169,2.058,,2.455,0.845,,0.331
45219,2.058,,2.443,0.853,,0.326
45269,2.059,,2.443,0.853,,0.329
45319,2.059,,,0.854,,0.329
45369,2.053,,,0.854,,0.33
45419,2.053,,2.45,0.856,,0.332
45469,2.055,,2.45,0.856,,0.329
45519,2.055,,2.427,0.855,,0.33
45569,2.043,,2.427,0.855,,0.333
45619,2.043,,2.441,0.858,,0.334
45669,2.016,,2.441,0.858,,0.336
45719,2.016,,,0.863,,0.334
45769,1.999,,,0.863,,0.335
45819,1.999,,,0.859,,0.338
45869,1.975,,,0.859,,0.336
45919,1.975,,2.378,0.863,,0.333
45969,1.94,,2.378,0.863,,0.336
46019,1.94,,,0.867,,0.336
46069,1.906,,,0.867,,0.34
46119,1.906,,2.401,0.873,,0.336
46169,1.874,,2.401,0.873,,0.338
46219,1.874,,2.439,0.878,,0.338
46269,1.848,,2.439,0.878,,0.337
